#time,accel_x,accel_y,accel_z
1285.400267,7031.956449,-5995.668130,1455.581446
1285.400597,7105.977043,-6291.750507,1149.143247
1285.400928,7105.977043,-6217.729913,995.924147
1285.401258,7105.977043,-6217.729913,1302.362347
1285.401588,6957.935855,-6513.812290,689.485948
1285.401918,6661.853478,-6735.874072,995.924147
1285.402248,7031.956449,-7105.977043,1072.533697
1285.402578,6735.874072,-6809.894666,995.924147
1285.402908,6809.894666,-6217.729913,842.705048
1285.403238,7031.956449,-6217.729913,1072.533697
1285.403569,7105.977043,-7031.956449,995.924147
1285.403899,7105.977043,-6587.832884,689.485948
1285.404229,6143.709319,-6587.832884,1378.971896
1285.404559,6661.853478,-6735.874072,995.924147
1285.404889,7105.977043,-6809.894666,995.924147
1285.405219,7254.018232,-6291.750507,1455.581446
1285.405549,7105.977043,-6587.832884,995.924147
1285.405879,7846.182985,-6365.771101,1455.581446
1285.406209,7179.997637,-6439.791695,612.876398
1285.406540,7105.977043,-6439.791695,995.924147
1285.406870,7179.997637,-6143.709319,1225.752797
1285.407200,7105.977043,-6365.771101,1915.238745
1285.407530,7105.977043,-6291.750507,1378.971896
1285.407860,7031.956449,-6143.709319,919.314598
1285.408190,6957.935855,-6365.771101,1072.533697
1285.408520,6883.915261,-6513.812290,1378.971896
1285.408850,7105.977043,-6661.853478,536.266849
1285.409181,6513.812290,-6661.853478,1149.143247
1285.409511,6217.729913,-6513.812290,612.876398
1285.409841,6587.832884,-6661.853478,1302.362347
1285.410171,6957.935855,-7105.977043,1225.752797
1285.410501,7031.956449,-6365.771101,1149.143247
1285.410831,6735.874072,-6883.915261,1225.752797
1285.411161,6957.935855,-6883.915261,0.000000
1285.411491,6513.812290,-6883.915261,842.705048
1285.411822,6735.874072,-6809.894666,919.314598
1285.412152,7105.977043,-7031.956449,919.314598
1285.412482,7105.977043,-6217.729913,919.314598
1285.412812,7105.977043,-6735.874072,1149.143247
1285.413142,7105.977043,-6365.771101,1608.800546
1285.413472,7105.977043,-6735.874072,1302.362347
1285.413802,6957.935855,-6587.832884,689.485948
1285.414132,7105.977043,-6439.791695,919.314598
1285.414463,7328.038826,-6217.729913,919.314598
1285.414793,7105.977043,-6587.832884,1455.581446
1285.415123,7105.977043,-6587.832884,766.095498
1285.415453,7105.977043,-6365.771101,612.876398
1285.415783,7179.997637,-6513.812290,1149.143247
1285.416113,6735.874072,-6439.791695,919.314598
1285.416443,6735.874072,-6365.771101,459.657299
1285.416773,6957.935855,-6587.832884,1149.143247
1285.417104,7031.956449,-6661.853478,1149.143247
1285.417434,6957.935855,-6661.853478,995.924147
1285.417764,7031.956449,-6513.812290,1225.752797
1285.418094,6809.894666,-6661.853478,1225.752797
1285.418424,6957.935855,-6883.915261,919.314598
1285.418754,6661.853478,-6883.915261,995.924147
1285.419084,6883.915261,-7031.956449,919.314598
1285.419414,7402.059420,-6661.853478,766.095498
1285.419745,6883.915261,-6291.750507,1302.362347
1285.420075,7105.977043,-6587.832884,689.485948
1285.420405,7328.038826,-6439.791695,1149.143247
1285.420735,7105.977043,-6513.812290,612.876398
1285.421065,7179.997637,-6217.729913,229.828649
1285.421395,7105.977043,-6365.771101,1072.533697
1285.421725,7328.038826,-6217.729913,1072.533697
1285.422055,7179.997637,-6587.832884,1225.752797
1285.422386,7179.997637,-5847.626942,1225.752797
1285.422716,7254.018232,-6513.812290,1149.143247
1285.423046,7105.977043,-6439.791695,1685.410096
1285.423376,7179.997637,-6365.771101,1302.362347
1285.423706,6661.853478,-6809.894666,995.924147
1285.424036,6735.874072,-6587.832884,1149.143247
1285.424366,6439.791695,-6883.915261,842.705048
1285.424696,6735.874072,-7105.977043,995.924147
1285.425027,6735.874072,-7031.956449,995.924147
1285.425357,6661.853478,-6957.935855,1225.752797
1285.425687,6513.812290,-6957.935855,766.095498
1285.426017,6661.853478,-6809.894666,995.924147
1285.426347,6735.874072,-6883.915261,1072.533697
1285.426677,7031.956449,-6661.853478,919.314598
1285.427007,7328.038826,-6217.729913,1608.800546
1285.427337,7105.977043,-6661.853478,766.095498
1285.427668,7179.997637,-6809.894666,1149.143247
1285.427998,7105.977043,-6365.771101,919.314598
1285.428328,6957.935855,-6661.853478,766.095498
1285.428658,6735.874072,-6513.812290,1149.143247
1285.428988,7031.956449,-6291.750507,842.705048
1285.429318,7328.038826,-6513.812290,1149.143247
1285.429648,7105.977043,-5921.647536,1072.533697
1285.429978,7328.038826,-6661.853478,689.485948
1285.430308,7105.977043,-5921.647536,1072.533697
1285.430639,6957.935855,-6069.688724,919.314598
1285.430969,7031.956449,-5995.668130,995.924147
1285.431299,6957.935855,-6661.853478,919.314598
1285.431629,7105.977043,-7105.977043,612.876398
1285.431959,6883.915261,-6883.915261,995.924147
1285.432289,6883.915261,-6809.894666,919.314598
1285.432619,7105.977043,-6883.915261,1149.143247
1285.432949,6883.915261,-6587.832884,1149.143247
1285.433280,6883.915261,-6661.853478,919.314598
1285.433610,6809.894666,-6735.874072,919.314598
1285.433940,7105.977043,-6587.832884,995.924147
1285.434270,7476.080014,-6513.812290,1302.362347
1285.434600,7550.100608,-6069.688724,842.705048
1285.434930,7328.038826,-6439.791695,1225.752797
1285.435260,7328.038826,-6513.812290,1149.143247
1285.435590,7031.956449,-6513.812290,689.485948
1285.435921,7105.977043,-6513.812290,1149.143247
1285.436251,7105.977043,-6291.750507,1225.752797
1285.436581,7105.977043,-6513.812290,995.924147
1285.436911,6809.894666,-6217.729913,919.314598
1285.437241,7105.977043,-6069.688724,1378.971896
1285.437571,7179.997637,-6143.709319,1302.362347
1285.437901,6587.832884,-6439.791695,1072.533697
1285.438231,6513.812290,-6513.812290,995.924147
1285.438562,6809.894666,-6217.729913,995.924147
1285.438892,6661.853478,-6809.894666,1149.143247
1285.439222,7105.977043,-6957.935855,842.705048
1285.439552,6957.935855,-6735.874072,995.924147
1285.439882,6809.894666,-6883.915261,995.924147
1285.440212,6587.832884,-7105.977043,536.266849
1285.440542,6365.771101,-7105.977043,995.924147
1285.440872,7031.956449,-7031.956449,766.095498
1285.441203,6883.915261,-7105.977043,919.314598
1285.441533,7031.956449,-6513.812290,1072.533697
1285.441863,7179.997637,-6439.791695,842.705048
1285.442193,7105.977043,-6291.750507,1608.800546
1285.442523,7105.977043,-6513.812290,1072.533697
1285.442853,7031.956449,-6735.874072,919.314598
1285.443183,6957.935855,-6587.832884,1072.533697
1285.443513,7105.977043,-5921.647536,919.314598
1285.443844,7254.018232,-6217.729913,1225.752797
1285.444174,7179.997637,-6291.750507,1302.362347
1285.444504,7105.977043,-6661.853478,1072.533697
1285.444834,7105.977043,-6291.750507,1149.143247
1285.445164,7031.956449,-5625.565159,689.485948
1285.445494,6365.771101,-6513.812290,766.095498
1285.445824,6883.915261,-6735.874072,919.314598
1285.446154,7031.956449,-6587.832884,1072.533697
1285.446485,7105.977043,-6513.812290,919.314598
1285.446815,7031.956449,-6365.771101,1149.143247
1285.447145,6883.915261,-6513.812290,842.705048
1285.447475,6735.874072,-6883.915261,689.485948
1285.447805,6735.874072,-7031.956449,766.095498
1285.448135,6883.915261,-7105.977043,1149.143247
1285.448465,7105.977043,-6809.894666,995.924147
1285.448795,7105.977043,-6439.791695,1072.533697
1285.449126,7476.080014,-6365.771101,919.314598
1285.449456,7105.977043,-6513.812290,842.705048
1285.449786,7105.977043,-6217.729913,995.924147
1285.450116,7105.977043,-6291.750507,995.924147
1285.450446,7179.997637,-6587.832884,842.705048
1285.450776,7328.038826,-6217.729913,842.705048
1285.451106,7254.018232,-6217.729913,995.924147
1285.451436,7402.059420,-6291.750507,1378.971896
1285.451767,7105.977043,-6587.832884,1225.752797
1285.452097,7031.956449,-6291.750507,995.924147
1285.452427,7105.977043,-6513.812290,995.924147
1285.452757,6735.874072,-6661.853478,536.266849
